code,name
LAX,Los Angeles International Airport
JFK,John F. Kennedy International Airport
ATL,Hartsfield-Jackson Atlanta International Airport
ORD,O'Hare International Airport
DFW,Dallas/Fort Worth International Airport
DEN,Denver International Airport
SFO,San Francisco International Airport
LAS,McCarran International Airport
SEA,Seattle-Tacoma International Airport
MCO,Orlando International Airport
MIA,Miami International Airport
CDG,Charles de Gaulle Airport
HND,Tokyo Haneda Airport
LHR,Heathrow Airport
DXB,Dubai International Airport
FRA,Frankfurt Airport
AMS,Amsterdam Airport Schiphol
IST,Istanbul Airport
SIN,Singapore Changi Airport
HKG,Hong Kong International Airport
BKK,Suvarnabhumi Airport
PEK,Beijing Capital International Airport
DEL,Indira Gandhi International Airport
GRU,São Paulo/Guarulhos–Governador André Franco Montoro International Airport
SYD,Sydney Airport
